School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Abilene Christian,0,0,5,8,289,NA,Slnd,9-16,9,16,97.1759621955434,289,107.3272900624088,244,0.24183688362483538,281,7-11,0.35759094602398456,0.504588932250785,0.30042506249133993,0.3888888888888889,-12.517991020900448,252,266.5,2017
Air Force,0,0,2,10,253,NA,MWC,10-21,10,21,103.26265879083128,175,107.55949193478469,249,0.38489196786491797,210,4-14,0.5305902527620963,0.4015905659642195,0.5980652935583547,0.2222222222222222,-14.15579334808361,282,212,2017
Akron,0,0,8,1,53,NA,MAC,25-8,25,8,111.83553620249813,47,105.70454614261158,214,0.6566468465928663,103,14-4,0.45786601371967467,0.42411464003930793,0.47108985258042313,0.7777777777777778,-1.9720573893955686,73,130.5,2017
Alabama,0,0,6,5,79,NA,SEC,19-14,19,14,104.73397944708017,150,91.51071619328515,11,0.8252206560338189,52,10-8,0.6645888123844869,0.5107325969091254,0.7395898561589247,0.5555555555555556,-1.9705188920522794,72,80.5,2017
Alabama-Birmingham,0,0,4,7,198,NA,CUSA,16-16,16,16,103.31513912346648,172,104.94712115794636,199,0.45506258550838874,185,9-9,0.4636131925557571,0.5265794533077771,0.42042078873508193,0.5,-9.497260073241234,195,185.5,2017
Alabama A&M,0,0,1,10,351,NA,SWAC,2-27,2,27,89.914268705193,346,123.08584903010224,350,0.026306195875832272,351,2-16,0.2717275843990435,0.4830092969951561,0.14261098225697466,0.1111111111111111,-24.031770502493394,350,348,2017
Alabama State,0,0,4,8,343,NA,SWAC,7-23,7,23,90.20559326374749,345,113.82224430314977,330,0.06450789016720804,344,6-12,0.2919371199031311,0.5385077690470039,0.13820347177277836,0.3333333333333333,-19.256900324292612,341,337.5,2017
Albany (NY),0,0,9,3,138,NA,AE,20-13,20,13,107.26000901384096,103,104.17222718905177,184,0.5831987751113353,129,10-6,0.39383539181172444,0.45274028914032977,0.33003624805640513,0.625,-6.9631494841393335,148,143.5,2017
Alcorn State,0,0,10,2,227,NA,SWAC,15-14,15,14,94.27926635272689,325,106.77540488850279,231,0.1928864655889777,306,13-5,0.30331531834050485,0.7448876265739713,0.12369593876299922,0.7222222222222222,-9.7204109971766,197,278,2017
American,0,0,4,9,310,NA,Pat,8-22,8,22,94.39894989696941,324,107.86543719080233,256,0.17747088453099008,312,5-13,0.4013452919872435,0.44111821926593797,0.37949498765340584,0.2777777777777778,-16.504806275529752,314,290,2017
Appalachian State,0,0,3,11,296,NA,SB,7-21,7,21,99.5172254770854,248,107.20265399269883,240,0.29828290425837645,252,4-14,0.5030570898157856,0.49855646351325017,0.5016326141802095,0.2222222222222222,-14.834313887656068,295,244,2017
Arizona,1,1,10,1,3,NA,P12,30-4,30,4,116.69168795814983,23,95.15503194322238,41,0.9126412843236101,25,16-2,0.656516003662996,0.5800951660970208,0.6780867293872359,0.8888888888888888,7.749492808818025,7,32,2017
Arizona State,0,0,5,8,126,NA,P12,15-18,15,18,111.0870508279453,57,107.23308586151205,241,0.6001420277454834,122,7-11,0.643371243134949,0.5239842544747835,0.7127021358972254,0.3888888888888889,-6.436116284977584,137,149,2017
Arkansas,1,0,8,3,28,NA,SEC,25-8,25,8,116.08511807137944,29,101.15821322030925,117,0.8296058332645526,49,12-6,0.6612639995262125,0.5046762405764865,0.7564237627802244,0.6666666666666666,4.008002336048362,24,73,2017
Arkansas-Pine Bluff,0,0,3,8,345,NA,SWAC,6-24,6,24,84.4141500162823,351,110.75931970510662,300,0.042140900331224224,349,6-12,0.2948254042753396,0.5258960326075824,0.14077831872051105,0.3333333333333333,-21.233415396311766,347,325.5,2017
Arkansas State,0,0,7,3,120,NA,SB,19-12,19,12,104.91073509742165,147,102.30304597851517,148,0.5718638266033672,136,11-7,0.4730702030423949,0.5416464213521434,0.4368427861619206,0.6111111111111112,-5.798767602021594,120,147.5,2017
Army,0,0,4,8,267,NA,Pat,12-19,12,19,96.96769072280293,292,104.95056055980822,200,0.28704428055661646,258,6-12,0.3934121313483878,0.42459144024165885,0.3673632261491954,0.3333333333333333,-13.70473546589425,273,246,2017
Auburn,0,0,5,11,109,NA,SEC,18-14,18,14,112.46620661746292,43,102.64232136027806,156,0.7409914904263658,78,7-11,0.668085302699766,0.5674003124760347,0.748243941621997,0.3888888888888889,-2.4854123979509,81,99.5,2017
Austin Peay,0,0,6,4,262,NA,OVC,9-19,9,19,104.27644968108706,154,116.49905320368751,340,0.21846528609632587,293,7-9,0.4479493966518841,0.5611354218212281,0.36305987777487597,0.4375,-13.871771285131784,278,247,2017
Ball State,0,0,8,1,165,NA,MAC,20-12,20,12,103.76305098329868,163,104.53029596761945,188,0.47883253684370863,173,11-7,0.42277094682111666,0.31342393008422564,0.478310521415078,0.6111111111111112,-6.912256662405606,143,175.5,2017
Baylor,1,0,7,2,11,NA,B12,24-7,24,7,116.4981766441251,25,92.90659274184785,22,0.9310050663919085,16,12-6,0.7476940643947894,0.5596497282637884,0.8655112559261877,0.6666666666666666,7.776455862793061,6,23.5,2017
Belmont,0,0,11,1,61,NA,OVC,21-6,21,6,108.59740250521054,81,103.52440204709652,168,0.634173073551659,110,15-1,0.4400768370477293,0.5698515876249738,0.36106205965451876,0.9375,-0.7498968963707463,58,124.5,2017
Bethune-Cookman,0,0,5,10,347,NA,MEAC,8-22,8,22,95.32226065999093,313,113.91230603306795,331,0.11416320382959534,334,6-10,0.2726404169814502,0.429579991202553,0.14999372230868993,0.375,-18.751450368996665,335,322,2017
Binghamton,0,0,3,8,311,NA,AE,9-20,9,20,94.8695894318333,320,109.58182656166798,288,0.16003927260944745,321,3-13,0.3862879324260651,0.38562264833901794,0.3820841026927609,0.1875,-15.403452842677755,301,304,2017
Boise State,0,0,8,3,71,NA,MWC,18-11,18,11,109.73979087231105,64,102.09596724736058,140,0.6964154410334132,87,12-6,0.5689855068656856,0.5294358725456606,0.580293153289542,0.6666666666666666,-3.2885335594896,87,102,2017
Boston College,0,0,0,15,217,NA,ACC,9-23,9,23,104.96376773636234,145,101.62296084323808,127,0.5919363080894083,126,2-16,0.6919787037408746,0.42472276655597213,0.8736516255918866,0.1111111111111111,-9.877639530825109,200,136,2017
Boston University,0,0,7,2,185,NA,Pat,17-14,17,14,100.46885481340918,230,102.94040175563208,161,0.43058179787812867,194,12-6,0.40006304797015824,0.4871582216094233,0.3517176363495312,0.6666666666666666,-8.924204995935005,183,195.5,2017
Bowling Green State,0,0,5,5,225,NA,MAC,12-19,12,19,99.81890694396247,241,106.00757933986759,219,0.33364182652509466,233,7-11,0.4708598894101955,0.3970307822131878,0.50879129984517,0.3888888888888889,-12.972815821035525,261,230,2017
Bradley,0,0,4,6,221,NA,MVC,12-20,12,20,96.25737323966833,306,102.21107995337465,144,0.33399595179763625,231,7-11,0.5671478370617932,0.5127970392747393,0.5965900947843512,0.3888888888888889,-11.261645695314098,229,225,2017
