School,Make Tournament,Conference Champ,Last 12 Win %,Last 12 Wins,Conference Finish,RPI,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
Abilene Christian,0,0,0.333,4,8,0.449,260,NA,Slnd,12-15,96.8637480583161,303,107.22905780904985,234,0.2370154723455055,283,8-10,0.35377158875802917,0.44262113055139163,0.3093468178613479,0.4444444444444444,-11.28883942447142,229
Air Force,0,0,0.333,4,9,0.454,254,NA,MWC,10-19,100.39719883415917,245,105.16818595515443,186,0.36960654036518964,218,6-12,0.5507337027540421,0.388167077589032,0.6308958976093498,0.3333333333333333,-11.759369253773398,241
Akron,0,0,0.333,4,6,0.468,227,NA,MAC,13-18,102.5025048982121,204,107.98972276860087,253,0.354409699095503,227,6-12,0.4700682205612688,0.42985725715219164,0.48755188850714387,0.3333333333333333,-12.058196400431706,246
Alabama,1,0,0.333,4,9,0.586,35,NA,SEC,19-15,107.57905114871386,110,93.95858733679349,14,0.8258902196434592,51,8-10,0.7518889885057909,0.5959253520988775,0.8416985462925854,0.4444444444444444,-1.0243986098636837,63
Alabama-Birmingham,0,0,0.5,6,6,0.509,151,NA,CUSA,18-13,107.34549547700261,111,102.8968443091056,144,0.6193391630586866,122,10-8,0.4744829468028237,0.4013519687633187,0.5134037079414158,0.5555555555555556,-6.036235429880534,128
Alabama A&M,0,0,0.083,1,10,0.332,350,NA,SWAC,3-28,87.38758217462875,350,114.90758555602608,335,0.04115387151229508,350,3-15,0.3322652734429845,0.5926667190611753,0.14419756271873552,0.16666666666666666,-22.935350172484345,349
Alabama State,0,0,0.417,5,7,0.386,337,NA,SWAC,8-23,94.22494689305603,329,116.40377215638986,340,0.08084882095279526,342,8-10,0.31571889368788847,0.5791129509131092,0.13963736861548237,0.4444444444444444,-18.19761613508349,329
Albany (NY),0,0,0.667,8,4,0.515,143,NA,AE,21-10,105.80040761584544,138,104.56224860544913,178,0.5337923258044903,151,10-6,0.36047015047270814,0.39628608162657647,0.33418247379062194,0.625,-5.9389469167189555,127
Alcorn State,0,0,0.5,6,8,0.364,348,NA,SWAC,7-21,93.96988464491426,332,113.97008318988492,326,0.0980520143565283,339,7-11,0.3246929040591044,0.7015517730880985,0.1376757688849637,0.3888888888888889,-16.354940623210016,314
American,0,0,0.167,2,10,0.386,335,NA,Pat,6-24,95.9525502794279,316,110.44133381043159,295,0.16558411564093517,319,3-15,0.37156771719549725,0.4406203635909646,0.33314275324236814,0.16666666666666666,-18.998025049541088,336
