School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
Abilene Christian,1,1,9,2,131,154,Slnd,23-6,101.85514130495105,202,100.32898839450515,117,0.5432950367828073,150,14-4,0.3016993381236258,0.3936000293260578,0.2549394047116022,0.7777777777777778,-2.664002575926081,79
Air Force,0,0,6,6,224,242,MWC,13-18,99.74389259988938,252,105.79295147718165,230,0.336909352056166,232,8-10,0.49196944594174624,0.4334718544716347,0.5373413964853181,0.4444444444444444,-10.846559613852092,216
Akron,0,0,5,4,153,114,MAC,15-16,98.3767464494061,267,92.77530665477983,20,0.6624374682559251,109,8-10,0.5392943241298053,0.4240638063909223,0.5941414229360145,0.4444444444444444,-8.109435458683699,169
Alabama,0,0,5,9,55,59,SEC,18-15,107.7304858585548,90,95.5614370560515,42,0.7987383041021255,52,8-10,0.7334975199207919,0.6086511331847995,0.8045301681566603,0.4444444444444444,-0.2268630719390663,54
Alabama-Birmingham,0,0,6,6,145,133,CUSA,18-14,105.93548319398536,128,104.26603306482096,188,0.5455417008671478,148,10-8,0.4736823702181776,0.4199427764505707,0.49860787310246363,0.5555555555555556,-7.4834994082518795,160
Alabama A&M,0,0,2,9,353,346,SWAC,5-27,87.12044117065349,350,109.56059416191357,288,0.0668795165822635,347,4-14,0.3210789423869273,0.5085251207576216,0.17528747032083158,0.2222222222222222,-22.633379535419447,352
Alabama State,0,0,4,6,308,330,SWAC,10-19,93.40606276436924,328,111.85672827172132,321,0.1117469494276119,335,9-9,0.350404343125939,0.7344642508263899,0.1701710179151685,0.5,-13.720155233518131,278
Albany (NY),0,0,7,5,289,271,AE,11-20,97.76680815666583,278,106.69089547339514,242,0.2680511220563418,269,7-9,0.3470662428701966,0.3909678998416722,0.3057150262934068,0.4375,-15.753386272566399,311
Alcorn State,0,0,4,7,347,348,SWAC,6-21,88.69058012789799,345,112.7417493273365,332,0.05955906602616411,350,6-12,0.3223384699145465,0.63425632758331,0.17612791071965622,0.3333333333333333,-16.717406481287185,322
American,0,0,7,4,244,177,Pat,15-15,101.57129619226154,208,103.26552526387977,169,0.4525829203427109,181,9-9,0.33762677434425115,0.2924412451425782,0.37198367036239605,0.5,-11.339227993658255,226
Appalachian State,0,0,6,10,274,213,SB,8-21,105.51707484148234,132,107.97846587013302,264,0.4340910608446055,189,6-12,0.5386881962926698,0.6048540790431366,0.4999257706600006,0.3333333333333333,-13.936905751303135,281
Arizona,0,0,3,8,120,93,P12,17-15,103.84761131218161,165,97.80469179297368,76,0.6658441190689309,108,8-10,0.6303948577995606,0.5825854524973841,0.6607889644699481,0.4444444444444444,-4.25214172191752,108
Arizona State,1,0,8,2,41,63,P12,22-10,108.93014677790441,66,98.25425354276479,87,0.7660616812469441,68,12-6,0.6157808919282507,0.5421615720838647,0.6497785391935171,0.6666666666666666,0.018275444954534148,50
Arkansas,0,0,6,9,101,65,SEC,17-15,108.56433016107795,76,97.0737642215592,66,0.7835584626834007,59,8-10,0.6975477778985739,0.5541204017586078,0.7904690993395086,0.4444444444444444,-2.294822278066167,74
Arkansas-Pine Bluff,0,0,6,3,290,323,SWAC,12-19,93.76336619115638,326,111.21699662175939,310,0.12312618391547045,332,10-8,0.33272357338440756,0.5803829544057624,0.16888232931914496,0.5555555555555556,-14.035008389740828,284
Arkansas State,0,0,5,9,235,251,SB,11-19,102.36461091442115,191,108.60510589643658,276,0.3361408566036195,234,7-11,0.4989941091430186,0.5168303586254299,0.4936553314667993,0.3888888888888889,-12.64950893294561,251
Army,0,0,4,5,246,239,Pat,12-19,95.9157595351341,304,101.92362516470412,146,0.332108331287144,235,8-10,0.39614551874105186,0.3992673859842894,0.38507982716097083,0.4444444444444444,-14.018146906394513,282
Auburn,1,1,9,4,23,18,SEC,24-9,119.25488574731929,8,96.24165899943625,53,0.9216954456999487,15,11-7,0.729283339922306,0.5825962495080627,0.8115811272082976,0.6111111111111112,5.261854819803494,18
Austin Peay,0,0,8,4,116,135,OVC,20-11,109.95814988038128,58,105.68445600273401,226,0.6120370926140515,129,13-5,0.41016853144657645,0.5074302128864802,0.3368806864914039,0.7222222222222222,-4.973199453582746,119
