School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Rank Avg,Efficiency Avg,Season
Abilene Christian,0,0,5,7,320,NA,Slnd,9-18,9,18,96.11591697764163,307,111.54567972795152,307,0.15289004770707212,319,8-10,0.32317893001991194,0.46828236551765634,0.2506272122710395,0.4444444444444444,-14.258455914119969,286,307,103.83079835279658,2016
Air Force,0,0,4,10,226,NA,MWC,12-18,12,18,97.72250711731368,288,105.85493024440589,210,0.28510396415023265,256,5-13,0.5304900367685859,0.4288472610512008,0.5824270108519378,0.2777777777777778,-10.577090885488502,218,249,101.78871868085979,2016
Akron,0,0,9,1,29,NA,MAC,25-8,25,8,109.54639509223867,81,100.90366898273271,126,0.720126968843103,92,13-5,0.4773912245852481,0.46252479337499847,0.48743930227328797,0.7222222222222222,-1.0920463173387183,79,103.5,105.22503203748569,2016
Alabama,0,0,7,10,69,NA,SEC,18-14,18,14,105.98708042448098,135,95.90143949505662,41,0.7595029595423645,73,8-10,0.7027030364663559,0.5897636076930101,0.7609251840324823,0.4444444444444444,-0.26216156807654656,62,88,100.9442599597688,2016
Alabama-Birmingham,0,0,10,1,83,NA,CUSA,25-6,25,6,107.51716135314584,107,103.11088210105432,163,0.6180367967782171,119,16-2,0.4085774228347151,0.42594875840389484,0.39271146920003225,0.8888888888888888,-0.7710720108413144,69,135,105.31402172710008,2016
Alabama A&M,0,0,4,7,332,NA,SWAC,10-18,10,18,98.45014297340403,274,114.0581318785622,333,0.1554713903684465,316,6-12,0.27352236157261156,0.4790241700773215,0.18676093762111923,0.3333333333333333,-14.91140566830626,293,303.5,106.25413742598312,2016
Alabama State,0,0,8,5,267,NA,SWAC,12-17,12,17,97.91107098089682,284,111.07224881371069,303,0.18994087509389887,297,9-9,0.3169926474723327,0.5583517981284118,0.18290394681142472,0.5,-12.907184468871677,262,293.5,104.49165989730375,2016
Albany (NY),0,0,10,2,108,NA,AE,23-8,23,8,104.4989142999797,159,101.92814626904521,141,0.5711264453526548,138,13-3,0.3234668724056587,0.38509374123333207,0.28200752417001984,0.8125,-3.823795078742444,106,150,103.21353028451246,2016
Alcorn State,0,0,9,2,253,NA,SWAC,13-15,13,15,96.91637084429189,296,111.631421089826,310,0.16443781827171086,310,13-5,0.2948809174584764,0.5365236165471777,0.18575503809024893,0.7222222222222222,-11.319387565502282,235,303,104.27389596705895,2016
American,0,0,9,4,230,NA,Pat,12-19,12,19,91.30214625391838,336,106.3089309501836,219,0.14804561671113697,321,9-9,0.3965792733467059,0.4779275407262643,0.33521247947547245,0.5,-13.831595390269822,281,277.5,98.80553860205099,2016
Appalachian State,0,0,4,9,258,NA,SB,9-22,9,22,100.72861724301528,219,110.20591461537694,290,0.2622924865414027,271,7-13,0.4891120312748797,0.5210769830973863,0.4715313077725011,0.35,-14.93249441316096,294,254.5,105.46726592919612,2016
Arizona,1,0,8,3,25,NA,P12,25-8,25,8,117.31439642629368,19,95.5190168346461,36,0.9140107004802207,18,12-6,0.6604583772022408,0.4792135265709972,0.7681424304969046,0.6666666666666666,3.7676419050879266,22,27.5,106.41670663046989,2016
Arizona State,0,0,4,11,101,NA,P12,15-17,15,17,108.75971457535552,91,99.79135912048537,106,0.7290253191187839,88,5-13,0.7217255287826394,0.6227151557025751,0.7888364460492138,0.2777777777777778,-3.773593301573288,105,98.5,104.27553684792045,2016
Arkansas,0,0,7,8,123,NA,SEC,16-16,16,16,109.88938209978141,75,98.75149817352457,78,0.7736396811803176,69,9-9,0.672191143249393,0.5334557016536682,0.7618106013489206,0.5,-4.26670603710812,113,76.5,104.32044013665299,2016
Arkansas-Pine Bluff,0,0,4,7,314,NA,SWAC,8-25,8,25,87.57826499176272,347,109.81456734356274,285,0.06901020494121637,347,6-12,0.3978274703855522,0.6739024865420468,0.19656668448702386,0.3333333333333333,-17.526587422094327,332,316,98.69641616766273,2016
Arkansas State,0,0,2,9,281,NA,SB,9-20,9,20,98.83758061858367,266,107.32397976481948,242,0.2794274618764822,259,7-13,0.46253072777086274,0.44630032181445717,0.46983441045124535,0.35,-13.703035648502823,277,254,103.08078019170158,2016
Army,0,0,6,4,210,NA,Pat,18-13,18,13,98.76646608987738,267,105.034154208297,199,0.33013698453446244,234,9-9,0.32562387739399684,0.3614505405046828,0.3150625970145946,0.5,-9.17003058313961,193,233,101.90031014908719,2016
Auburn,0,0,2,13,175,NA,SEC,11-20,11,20,100.29541631493643,228,102.19649203522678,147,0.4462238967125395,184,5-13,0.7098689920308716,0.5786529215148849,0.796435938773111,0.2777777777777778,-7.863963980373227,169,187.5,101.24595417508161,2016
Austin Peay,1,1,6,4,187,NA,OVC,16-17,16,17,102.37109865153063,188,108.93361700323247,272,0.3285956002518688,236,7-9,0.41325784295513257,0.4870891406419675,0.3428339753664432,0.4375,-11.088604576933568,230,230,105.65235782738155,2016
Ball State,0,0,6,1,179,NA,MAC,18-13,18,13,101.86376238588156,202,101.81592462365104,140,0.5013504855247303,162,10-8,0.4258699664135381,0.3095304400009548,0.5139721986308843,0.5555555555555556,-8.082057692391396,171,171,101.83984350476629,2016
Baylor,1,0,6,5,24,NA,B12,21-11,21,11,119.50660913619663,8,98.785784982051,80,0.8993303915077714,24,10-8,0.717858087641999,0.4897873048700518,0.8471769722233736,0.5555555555555556,3.8905184435997837,21,44,109.14619705912381,2016
Belmont,0,0,8,1,94,NA,OVC,19-11,19,11,112.42317942178812,45,108.38366071711741,262,0.6036787616302792,123,12-4,0.45154388517385435,0.5753484513585025,0.35863694295648635,0.75,-4.656551137006559,116,153.5,110.40342006945276,2016
Bethune-Cookman,0,0,8,4,288,NA,MEAC,12-18,12,18,97.61249801767957,291,110.39825143487525,292,0.19536475695888436,294,10-6,0.31038132548587977,0.4974282995253023,0.1694252790587798,0.625,-13.64247674825465,273,291.5,104.00537472627741,2016
Binghamton,0,0,5,6,300,NA,AE,8-22,8,22,89.09763115133741,344,102.09273534452166,144,0.1728286167624846,305,5-11,0.3660947174181623,0.4083438451928508,0.3309701438051057,0.3125,-17.110164041988813,325,244,95.59518324792953,2016
Boise State,0,0,6,3,102,NA,MWC,18-12,18,12,108.18409739531401,94,99.91190455634114,107,0.713976013053229,95,11-7,0.5695833360417059,0.5730881748238922,0.568783732235318,0.6111111111111112,-3.3360761545524342,99,100.5,104.04800097582758,2016
Boston College,0,0,0,15,249,NA,ACC,7-25,7,25,94.68869353679781,318,99.22436140118086,92,0.3686359502666591,217,0-18,0.6584757392499618,0.3869719944593181,0.8462610793285551,0,-11.905734225533676,243,205,96.95652746898934,2016
Boston University,0,0,8,3,195,NA,Pat,17-14,17,14,101.93253310719234,200,107.06188292679511,235,0.36248323079561173,219,11-7,0.3529330651247737,0.43512135570034016,0.31153465988980333,0.6111111111111112,-9.787484139557082,201,217.5,104.49720801699372,2016
Bowling Green State,0,0,2,6,200,NA,MAC,14-18,14,18,99.15274869301584,260,105.58960100094004,204,0.32665998200710683,241,5-13,0.4821149371518686,0.3703173579451335,0.5285883056280007,0.2777777777777778,-11.643378269770587,240,232,102.37117484697794,2016
Bradley,0,0,2,9,305,NA,MVC,4-27,4,27,85.64959510424774,350,101.0328772883901,129,0.13015521728507717,330,3-15,0.5842022644966476,0.6081753762643027,0.5736033292307883,0.16666666666666666,-17.417817808173645,329,239.5,93.34123619631892,2016
